game_index,ply,side,san,uci,top1_uci,top1_prob,top2_uci,top2_prob,top3_uci,top3_prob
1,1,W,e4,e2e4,e2e4,0.35353535353535354,a2a4,0.20202020202020202,f2f4,0.1111111111111111
1,2,B,e5,e7e5,,,,,,
1,3,W,b4,b2b4,b2b4,0.16161616161616163,b2b3,0.12121212121212122,g2g4,0.12121212121212122
1,4,B,Bxb4,f8b4,,,,,,
1,5,W,g4,g2g4,g2g4,0.1414141414141414,g2g3,0.12121212121212122,h2h3,0.1111111111111111
1,6,B,Nf6,g8f6,,,,,,
1,7,W,Nh3,g1h3,g1h3,0.10101010101010101,h2h3,0.10101010101010101,c2c4,0.10101010101010101
1,8,B,d5,d7d5,,,,,,
1,9,W,exd5,e4d5,e4d5,0.1414141414141414,h1g1,0.13131313131313133,h3g1,0.06060606060606061
1,10,B,Bxg4,c8g4,,,,,,
1,11,W,Qxg4,d1g4,d1g4,0.23232323232323232,c2c3,0.1111111111111111,h1g1,0.0707070707070707
1,12,B,Nxg4,f6g4,,,,,,
1,13,W,Bb5+,f1b5,f1b5,0.08080808080808081,h1g1,0.0707070707070707,c1a3,0.0707070707070707
1,14,B,c6,c7c6,,,,,,
1,15,W,Bxc6+,b5c6,b5c6,0.15151515151515152,b5f1,0.06060606060606061,b5a6,0.050505050505050504
1,16,B,bxc6,b7c6,,,,,,
1,17,W,Rf1,h1f1,h1f1,0.7373737373737373,e1d1,0.0707070707070707,h3g5,0.010101010101010102
1,18,B,Nxh2,g4h2,,,,,,
1,19,W,f3,f2f3,f2f3,0.8181818181818182,h3g5,0.010101010101010102,h3f4,0.010101010101010102
1,20,B,Qh4+,d8h4,,,,,,
1,21,W,Kd1,e1d1,e1d1,0.494949494949495,h3f2,0.3434343434343434,f1f2,0.16161616161616163
1,22,B,Qxh3,h4h3,,,,,,
1,23,W,c3,c2c3,c2c3,0.8181818181818182,f1f2,0.010101010101010102,f1h1,0.010101010101010102
1,24,B,Qxf1+,h3f1,,,,,,
1,25,W,Kc2,d1c2,d1c2,1.0,,,,
1,26,B,Qg2,f1g2,,,,,,
1,27,W,Kd1,c2d1,c2d1,0.8686868686868687,c2d3,0.010101010101010102,c2b3,0.010101010101010102
1,28,B,Nxf3,h2f3,,,,,,
1,29,W,Na3,b1a3,b1a3,0.8888888888888888,d1c2,0.010101010101010102,c1a3,0.010101010101010102
1,30,B,Qh1+,g2h1,,,,,,
1,31,W,Ke2,d1e2,d1e2,0.5454545454545454,d1c2,0.45454545454545453,,
1,32,B,Qh2+,h1h2,,,,,,
1,33,W,Ke3,e2e3,e2e3,0.6363636363636364,e2d1,0.3333333333333333,e2f3,0.010101010101010102
1,34,B,Qg2,h2g2,,,,,,
1,35,W,Nb1,a3b1,a3b1,0.8686868686868687,e3e4,0.010101010101010102,e3d3,0.010101010101010102
1,36,B,cxd5,c6d5,,,,,,
1,37,W,c4,c3c4,c3c4,0.6666666666666666,e3d3,0.26262626262626265,c1a3,0.010101010101010102
1,38,B,d4+,d5d4,,,,,,
1,39,W,Ke4,e3e4,e3e4,0.98989898989899,e3d3,0.010101010101010102,,
1,40,B,f5+,f7f5,,,,,,
1,41,W,Kd5,e4d5,e4d5,0.98989898989899,e4d3,0.010101010101010102,e4f5,0.0
1,42,B,Ng5+,f3g5,,,,,,
1,43,W,Kxe5,d5e5,d5e5,1.0,,,,
1,44,B,Qe4#,g2e4,,,,,,
2,1,W,e4,e2e4,e2e4,0.35353535353535354,a2a4,0.20202020202020202,f2f4,0.1111111111111111
2,2,B,e5,e7e5,,,,,,
2,3,W,b4,b2b4,b2b4,0.16161616161616163,b2b3,0.12121212121212122,g2g4,0.12121212121212122
2,4,B,Bxb4,f8b4,,,,,,
2,5,W,g4,g2g4,g2g4,0.1414141414141414,g2g3,0.12121212121212122,h2h3,0.1111111111111111
2,6,B,Nf6,g8f6,,,,,,
2,7,W,Nh3,g1h3,g1h3,0.10101010101010101,h2h3,0.10101010101010101,c2c4,0.10101010101010101
2,8,B,d5,d7d5,,,,,,
2,9,W,exd5,e4d5,e4d5,0.1414141414141414,h1g1,0.13131313131313133,h3g1,0.06060606060606061
2,10,B,Bxg4,c8g4,,,,,,
2,11,W,Qxg4,d1g4,d1g4,0.23232323232323232,c2c3,0.1111111111111111,h1g1,0.0707070707070707
2,12,B,Nxg4,f6g4,,,,,,
2,13,W,Bb5+,f1b5,f1b5,0.08080808080808081,h1g1,0.0707070707070707,c1a3,0.0707070707070707
2,14,B,c6,c7c6,,,,,,
2,15,W,Bxc6+,b5c6,b5c6,0.15151515151515152,b5f1,0.06060606060606061,b5a6,0.050505050505050504
2,16,B,bxc6,b7c6,,,,,,
2,17,W,Rf1,h1f1,h1f1,0.7373737373737373,e1d1,0.0707070707070707,h3g5,0.010101010101010102
2,18,B,Nxh2,g4h2,,,,,,
2,19,W,f3,f2f3,f2f3,0.8181818181818182,h3g5,0.010101010101010102,h3f4,0.010101010101010102
2,20,B,Qh4+,d8h4,,,,,,
2,21,W,Kd1,e1d1,e1d1,0.494949494949495,h3f2,0.3434343434343434,f1f2,0.16161616161616163
2,22,B,Qxh3,h4h3,,,,,,
2,23,W,c3,c2c3,c2c3,0.8181818181818182,f1f2,0.010101010101010102,f1h1,0.010101010101010102
2,24,B,Qxf1+,h3f1,,,,,,
2,25,W,Kc2,d1c2,d1c2,1.0,,,,
2,26,B,Qg2,f1g2,,,,,,
2,27,W,Kd1,c2d1,c2d1,0.8686868686868687,c2d3,0.010101010101010102,c2b3,0.010101010101010102
2,28,B,Nxf3,h2f3,,,,,,
2,29,W,Na3,b1a3,b1a3,0.8888888888888888,d1c2,0.010101010101010102,c1a3,0.010101010101010102
2,30,B,Qh1+,g2h1,,,,,,
2,31,W,Ke2,d1e2,d1e2,0.5454545454545454,d1c2,0.45454545454545453,,
2,32,B,Qh2+,h1h2,,,,,,
2,33,W,Ke3,e2e3,e2e3,0.6363636363636364,e2d1,0.3333333333333333,e2f3,0.010101010101010102
2,34,B,Qg2,h2g2,,,,,,
2,35,W,Nb1,a3b1,a3b1,0.8686868686868687,e3e4,0.010101010101010102,e3d3,0.010101010101010102
2,36,B,cxd5,c6d5,,,,,,
2,37,W,c4,c3c4,c3c4,0.6666666666666666,e3d3,0.26262626262626265,c1a3,0.010101010101010102
2,38,B,d4+,d5d4,,,,,,
2,39,W,Ke4,e3e4,e3e4,0.98989898989899,e3d3,0.010101010101010102,,
2,40,B,f5+,f7f5,,,,,,
2,41,W,Kd5,e4d5,e4d5,0.98989898989899,e4d3,0.010101010101010102,e4f5,0.0
2,42,B,Ng5+,f3g5,,,,,,
2,43,W,Kxe5,d5e5,d5e5,1.0,,,,
2,44,B,Qe4#,g2e4,,,,,,
3,1,W,e4,e2e4,e2e4,0.35353535353535354,a2a4,0.20202020202020202,f2f4,0.1111111111111111
3,2,B,e5,e7e5,,,,,,
3,3,W,b4,b2b4,b2b4,0.16161616161616163,b2b3,0.12121212121212122,g2g4,0.12121212121212122
3,4,B,Bxb4,f8b4,,,,,,
3,5,W,g4,g2g4,g2g4,0.1414141414141414,g2g3,0.12121212121212122,h2h3,0.1111111111111111
3,6,B,Nf6,g8f6,,,,,,
3,7,W,Nh3,g1h3,g1h3,0.10101010101010101,h2h3,0.10101010101010101,c2c4,0.10101010101010101
3,8,B,d5,d7d5,,,,,,
3,9,W,exd5,e4d5,e4d5,0.1414141414141414,h1g1,0.13131313131313133,h3g1,0.06060606060606061
3,10,B,Bxg4,c8g4,,,,,,
3,11,W,Qxg4,d1g4,d1g4,0.23232323232323232,c2c3,0.1111111111111111,h1g1,0.0707070707070707
3,12,B,Nxg4,f6g4,,,,,,
3,13,W,Bb5+,f1b5,f1b5,0.08080808080808081,h1g1,0.0707070707070707,c1a3,0.0707070707070707
3,14,B,c6,c7c6,,,,,,
3,15,W,Bxc6+,b5c6,b5c6,0.15151515151515152,b5f1,0.06060606060606061,b5a6,0.050505050505050504
3,16,B,bxc6,b7c6,,,,,,
3,17,W,Rf1,h1f1,h1f1,0.7373737373737373,e1d1,0.0707070707070707,h3g5,0.010101010101010102
3,18,B,Nxh2,g4h2,,,,,,
3,19,W,f3,f2f3,f2f3,0.8181818181818182,h3g5,0.010101010101010102,h3f4,0.010101010101010102
3,20,B,Qh4+,d8h4,,,,,,
3,21,W,Kd1,e1d1,e1d1,0.494949494949495,h3f2,0.3434343434343434,f1f2,0.16161616161616163
3,22,B,Qxh3,h4h3,,,,,,
3,23,W,c3,c2c3,c2c3,0.8181818181818182,f1f2,0.010101010101010102,f1h1,0.010101010101010102
3,24,B,Qxf1+,h3f1,,,,,,
3,25,W,Kc2,d1c2,d1c2,1.0,,,,
3,26,B,Qg2,f1g2,,,,,,
3,27,W,Kd1,c2d1,c2d1,0.8686868686868687,c2d3,0.010101010101010102,c2b3,0.010101010101010102
3,28,B,Nxf3,h2f3,,,,,,
3,29,W,Na3,b1a3,b1a3,0.8888888888888888,d1c2,0.010101010101010102,c1a3,0.010101010101010102
3,30,B,Qh1+,g2h1,,,,,,
3,31,W,Ke2,d1e2,d1e2,0.5454545454545454,d1c2,0.45454545454545453,,
3,32,B,Qh2+,h1h2,,,,,,
